A,B,C,D,E,F,G,H,I,J,target
8,0,0,71,3,1,0,0,1,0,1
3,0,0,13,1,0,0,0,0,0,0
22,0,0,21,0,0,0,0,0,0,0
3,0,0,10,0,0,0,0,0,0,0
5,0,0,8,0,0,0,0,0,0,1
7,0,0,10,0,0,0,0,0,0,0
0,1,0,35,1,1,0,0,0,0,0
45,2,0,47,0,0,0,0,0,0,0
0,0,0,36,0,0,0,0,0,0,0
11,0,0,25,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,36,0,0,0,0,0,0,0
12,0,0,10,0,0,0,0,0,0,0
0,0,0,27,0,0,0,0,0,0,0
1,0,0,28,0,0,0,1,0,0,1
0,0,0,93,3,0,0,0,0,0,0
0,0,0,251,13,8,0,3,1,0,1
1,0,0,20,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1
144,3,0,85,1,1,1,1,0,0,1
8,0,0,11,0,0,0,0,0,0,0
1,0,0,12,0,0,0,0,0,0,0
5,0,0,11,0,0,0,0,0,0,0
123,9,0,22,1,1,0,1,0,0,0
14,0,0,11,0,0,0,0,0,0,0
57,3,0,4,3,0,0,2,3,0,0
1,0,0,10,1,0,0,0,0,0,0
1,0,0,20,0,0,0,0,0,0,0
1,0,0,7,3,0,0,0,0,0,0
3,0,0,7,1,0,0,0,0,0,0
2,0,0,9,0,0,0,3,0,0,0
18,0,0,12,2,0,0,0,0,0,0
7,0,0,8,4,0,0,0,0,0,0
0,0,0,24,4,0,0,0,0,0,0
2,0,0,21,2,0,0,0,0,0,0
10,0,0,9,2,0,0,0,0,0,0
35,0,0,19,0,0,0,0,0,0,0
5,0,0,156,4,4,0,0,1,0,0
38,3,0,29,4,1,0,4,0,0,1
2,0,0,4,93,0,0,0,0,0,0
252,0,0,4,3,0,1,0,0,0,0
167,2,0,16,6,2,1,0,1,0,1
6,0,0,60,4,0,0,0,1,0,1
66,0,0,129,7,3,0,3,0,0,1
56,0,0,33,4,2,1,2,1,0,1
67,0,0,36,2,0,0,1,0,0,0
1,0,0,10,1,0,0,0,0,0,0
7,0,0,25,1,0,0,2,0,0,1
2,0,0,16,1,0,0,0,0,0,0
2,0,0,6,0,0,0,0,0,0,0
4,0,0,10,1,0,0,0,0,0,0
4,0,0,9,0,0,0,0,0,0,0
175,3,0,11,0,0,0,4,0,0,0
0,0,0,10,1,0,0,0,0,0,0
17,0,0,0,0,0,0,2,0,0,1
2,1,0,22,2,0,0,0,0,0,1
28,0,0,6,1,0,0,0,0,0,0
13,5,0,7,0,0,0,0,0,0,0
1,0,0,1,9,0,0,0,0,0,0
5,0,0,7,1,0,0,1,0,0,1
2,0,0,44,17,1,0,0,0,0,0
1,0,0,15,0,0,0,0,0,0,1
15,0,0,12,0,0,0,1,0,0,0
5,0,0,7,1,0,0,0,0,0,0
1,0,0,10,1,0,0,0,0,0,0
17,0,0,100,1,0,2,3,1,1,1
12,0,0,52,0,1,0,0,0,0,1
71,2,0,39,0,0,0,0,0,0,0
